Text,Translation,Language,Category
What is the name of the dorm you live in?,"আপনি সিঙ্গাপুরে যে জায়গাতে থাকেন, তার নাম কি?",Bengali,Contact with Others,
Is it a cluster?,আপনার কি কোনো বন্ধু ওখানে থাকেন যার কোভিড সংক্রমণ হয়েছে?,Bengali,Contact with Others,
How many people are staying in the same room as you?,আপনারা কতজন মিলে এক রুমে থাকেন?,Bengali,Contact with Others,
"In the last 14 days, did you meet anyone who has coronavirus?
","গত ১৪ দিনে, আপনি কি কারোর সাথে দেখা করেছেন যার কারোনাভাইরাস আছে?",Bengali,Contact with Others,
Who? What is your relationship with them?,কে? আপনাদের কি সম্পর্ক?,Bengali,Contact with Others,
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),কত দিন আগে দেখা হয়েছে?,Bengali,Contact with Others,
How long were you with him/her?,আপনাদের দেখাসাক্ষাত কতক্ষন ধরে ছিল?,Bengali,Contact with Others,
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","গত ১৪ দিনে, আপনি কি সিঙ্গাপুরের বাইরে ভ্রমণ করেছেন? হয়ে থাকলে আমাকে ইংরেজীতে দেশগুলি বলেন।",Bengali,Contact with Others,
I am a doctor. I do not speak Bengali. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,আমি ডাক্তার। আমি বাংলা বলতে পারি না। আমি আপনার সাথে এই ওয়েবসাইটের মাধ্যমে কথা বলব। যত সম্ভব তত আমাকে ইংরেজীতে উত্তর দেন।​ ধন্যবাদ।,Bengali,Greetings,
What's your name?,আপনার নাম কি ?,Bengali,Greetings,
Please give me your Work Permit,আমাকে আপনার ওয়ার্ক পারমিট দেন।,Bengali,Greetings,
Which company are you employed under?,আপনি কোন কোমপানিতে কাজ করেন?,Bengali,Greetings,
What is your supervisor’s name and contact number?,আপনার সুপারভাইজারের নাম এবং ফোন নাম্বার কি?,Bengali,Greetings,
Thank you,"ধন্যবাদ, dhonnobad",Bengali,Greetings,
Point to the place.,আঙ্গুল দিয়ে দেখান কোথায়।,Bengali,Medical Conditions,
Do you have any past medical history?,আপনার কি আগের থেকে কোনো শারীরিক সমস্যা আছে?,Bengali,Medical Conditions,
Point to which ones. Asthma Pneumonia Hypertension Hyperlipidemia Diabetes Heart problems Kidney problems,আঙ্গুল দিয়ে দেখান কোনটা। হাঁপানি/অ্যাজমা নিউমোনিয়া ব্লাড প্রেসার কল্সেটেরোল সুগার হার্টের সমস্যা কিডনির সমস্যা,Bengali,Medical Conditions,
Do you have a drug allergy?,আপনার কি কোনো ওষুধের অ্যালার্জি আছে?,Bengali,Medical Conditions,
"Do you smoke? If yes, how many cigarettes a day?","আপনি কি ধুমপান করেন? করে থাকলে, এক দিনে আপনার কয়টা সিগারেট শেষ হয়?",Bengali,Medical Conditions,
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","আপনি কি মাঝেমাঝে মদ্য পান করেন? তাহলে সপ্তাহে কতটুকু খান, কি ধরনের মদ, সম্ভব হলে ইংরেজীতে বলেন ।",Bengali,Medical Conditions,
"How do you feel emotionally?(Use thumbs up and down)

",আপনার মনের অবস্থা কেমন?,Bengali,Medical Conditions,
Do you have suicidal thoughts?,আপনার কি আত্মহত্যার চিন্তা মাথায় আসে?,Bengali,Medical Conditions,
"If you have any other problems, you can tell me in English.",আপনার অন্য কোনো সমস্যা থাকলে আমাকে ইংরেজীতে বলুন।,Bengali,Medical Instructions,
I’m going to examine you.Tell me if you feel more pain.Please remove your shirt.,আমি এখন আপনাকে পরীক্ষা করবো।বেশি ব্যথা পেলে বলবেন।আপনার সার্টটা খুলেন।,Bengali,Medical Instructions,
Keep taking deep breaths through your mouth.,মুখ দিয়ে বড় শ্বাস নিতে থাকেন।,Bengali,Medical Instructions,
"Say ""99"" when I listen with my stethoscope.","স্টেথো যখনই বুকে দিব তখন “৯, ৯” বলবেন।


",Bengali,Medical Instructions,
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,আমি এই তুলাটা আপনার নাকের মধ্যে ঢুকিয়ে পরীক্ষা করবো।আপনি অল্প অস্বস্তি বোধ করবেন তবে খুব বেশি ব্যথা হবে না।,Bengali,Medical Instructions,
This is to test for coronavirus,এটি করোনাভাইরাস পরীক্ষার জন্য।,Bengali,Medical Instructions,
Tilt your head back,আপনার মাথাটা অল্প পিছন দিকে কাত করুন।,Bengali,Medical Instructions,
"If coronavirus positive, we call your phone by tomorrow.","যদি করোনাভাইরাস টেস্ট পসিটিভ হয়, আমরা আগামীকালের মধ্যে আপনাকে ফোন করব।",Bengali,Medical Instructions,
"If coronavirus negative, we send you SMS after 3 days","যদি করোনভাইরাস টেস্ট নেগেটিভ হয়, তবে আমরা আপনাকে তিন দিনের মধ্যে “স এম স” (SMS) করব।",Bengali,Medical Instructions,
"Later, you will do an X-ray",পরে আপনার এক্স-রে হবে।,Bengali,Medical Instructions,
There is no sign of infection on your X-ray,আপনার এক্স-রেতে কোনও ইনফেকশন নেই।,Bengali,Medical Instructions,
You can go back soon.,আপনি একটু পরেই ফিরে যেতে পারবেন।,Bengali,Medical Instructions,
"Wait here, do not leave this area","এখানে অপেক্ষা করুন, আপাতত এখান থেকে চলে যাবেন না",Bengali,Medical Instructions,
You have to stay in the hospital for a few days,আপনাকে কিছুদিন হাসপাতালে থাকতে হবে।,Bengali,Medical Instructions,
I'll give you medicine to make you feel better,আমি আপনাকে ওষুধ দেব। তাতে আপনি আরাম বোধ করবেন।,Bengali,Medical Instructions,
You must not work for next 5 days.See sidebar for more translation on quarantine measures),পরবর্তী ৫ দিন আপনার কাজ করা উচিত নয়।,Bengali,Medical Instructions,
You must come back if you have problems with breathing.,"আপনার শ্বাস কষ্ট হলে, আপনাকে অবশ্যই ফেরত আসতে হবে। ৫ দিন",Bengali,Medical Instructions,
You must come back if you do not recover completely after 5 days,পরেও যদি আপনি সম্পুর্ণ সুস্থ না হন তবে অবশ্যই ফেরত আসতে হবে।,Bengali,Medical Instructions,
Read the handout carefully,কাগজটা ভাল করে পড়ুন।,Bengali,Medical Instructions,
You have tested positive for coronavirus.,আপনার কোভিড পরীক্ষা করা হয়েছে এবং আপনার কোভিড হয়েছে,Bengali,Medical Instructions,
We will take you to the hospital.,আমরা আপনাকে হাসপাতাল নিয়ে যাবো,Bengali,Medical Instructions,
We will transfer to you an isolation facility.,আমরা আপনাকে আলাদা করে রাখতে অন্য এক জায়গায় নিয়ে যাবো,Bengali,Medical Instructions,
Do you have a fever?,আপনার কি জ্বর আছে?,Bengali,Symptoms,
How many days?,কতদিন ধরে ?,Bengali,Symptoms,
"Did you measure it with a thermometer? If you did, what was the highest reading?",আপনি কি থার্মোমিটার দিয়ে জ্বর মেপেছেন? করে থাকলে সবচেয়ে বেশি তাপমাত্রা কত ছিল?,Bengali,Symptoms,
Runny nose?,সর্দি আছে?,Bengali,Symptoms,
Cough?,কাশি?,Bengali,Symptoms,
Sore throat?,গলা ব্যথা?,Bengali,Symptoms,
Difficulty breathing?,শ্বাস কষ্ট?,Bengali,Symptoms,
Anosmia,নাকে কি গন্ধ কম পাচ্ছেন?,Bengali,Symptoms,
Ageusia,মুখে কি স্বাদ কম লাগে?,Bengali,Symptoms,
Do you have diarrhoea? How many times a day?,আপনার কি পেট খারাপ হচ্ছে? হলে এক দিনে কত বার হয়?,Bengali,Symptoms,
Rash?,শরীরের কোনো জায়গায় কোনো রেশ বা চুলকানি আছে?,Bengali,Symptoms,
"Any pain? Specifically, any chest pain?","আপনার কি শরীরে কোনো জায়গায় ব্যাথা আছে? বিষেশ করে, কোন বুক ব্যথা আছে?",Bengali,Symptoms,